wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2001-01-06,1,10.0,10.0,1
1,01,2003-11-26,1,9.7,9.7,1
1,01,2005-06-26,1,12.0,12.0,1
1,01,2005-08-06,1,8.1,8.1,1
1,01,2005-08-18,1,7.1,7.1,1
1,01,2005-08-20,2,17.9,13.1,1
1,01,2005-09-19,1,9.7,9.7,1
1,01,2006-03-21,1,13.7,13.7,1
1,01,2006-04-26,1,7.4,7.4,1
1,01,2008-05-20,2,28.299999999999997,14.7,1
1,01,2008-05-24,1,15.5,15.5,1
1,01,2008-05-31,1,8.7,8.7,1
1,01,2008-12-11,1,9.5,9.5,1
1,01,2010-09-28,1,28.8,28.8,1
1,01,2011-09-06,1,252.4,252.4,1
1,01,2011-09-20,1,11.8,11.8,1
1,01,2012-07-20,4,151.3,62.4,1
1,01,2012-09-26,1,57.6,57.6,1
1,01,2012-10-03,1,9.2,9.2,1
1,01,2013-02-04,1,15.7,15.7,1
1,01,2013-07-16,1,6.4,6.4,1
1,01,2014-07-19,1,5.4,5.4,1
1,01,2015-01-23,1,0.44,0.44,1
1,01,2015-01-24,1,0.63,0.63,1
1,01,2015-01-25,1,0.76,0.76,1
1,01,2015-01-28,1,0.83,0.83,1
1,01,2015-01-30,2,1.52,0.81,1
1,01,2015-01-31,2,1.95,1.15,1
1,01,2015-02-01,1,1.35,1.35,1
1,01,2015-02-02,1,0.96,0.96,1
1,01,2015-02-03,1,0.67,0.67,1
1,01,2015-02-05,2,1.8900000000000001,1.09,1
1,01,2015-02-07,1,1.21,1.21,1
1,01,2015-02-08,1,0.5,0.5,1
1,01,2015-02-10,2,1.5499999999999998,0.95,1
1,01,2015-02-13,1,1.06,1.06,1
1,01,2015-02-15,2,1.65,0.89,1
1,01,2015-02-16,1,1.0,1.0,1
1,01,2015-02-17,1,0.29,0.29,1
1,01,2015-02-18,1,1.06,1.06,1
1,01,2015-02-19,1,0.88,0.88,1
1,01,2015-02-22,2,1.93,1.23,1
1,01,2015-02-23,2,1.0899999999999999,0.6,1
1,01,2015-02-24,1,0.72,0.72,1
1,01,2015-02-27,1,0.99,0.99,1
1,01,2015-02-28,2,1.96,1.16,1
1,01,2015-03-01,1,0.99,0.99,1
1,01,2015-03-02,3,11.5,6.41,1
1,01,2015-03-03,11,48.67,9.67,1
1,01,2015-03-04,1,3.91,3.91,1
1,01,2015-03-05,2,14.85,13.35,1
1,01,2015-03-09,1,6.39,6.39,1
1,01,2015-03-15,1,0.56,0.56,1
1,01,2015-03-21,1,2.01,2.01,1
