wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
5,5,2026-01-01,1,2.99,2.99,1
17,17,2026-01-01,2,4.55,2.63,1
33,33,2026-01-01,10,40.81,9.8,1
11,11,2026-01-02,1,0.94,0.94,1
33,33,2026-01-02,10,78.49000000000001,20.61,1
37,37,2026-01-02,1,4.34,4.34,1
43,43,2026-01-02,2,2.33,1.64,1
11,11,2026-01-03,1,5.93,5.93,1
17,17,2026-01-03,1,0.62,0.62,1
21,21,2026-01-03,1,0.91,0.91,1
30,30,2026-01-03,2,23.99,12.29,1
33,33,2026-01-03,1,2.67,2.67,1
41,41,2026-01-03,1,3.57,3.57,1
49,49,2026-01-03,1,3.85,3.85,1
58,58,2026-01-03,1,18.38,18.38,1
10,10,2026-01-04,1,4.31,4.31,1
30,30,2026-01-04,3,2.38,0.89,1
6,6,2026-01-05,1,3.66,3.66,1
15,15,2026-01-05,1,5.32,5.32,1
21,21,2026-01-05,3,5.04,2.29,1
30,30,2026-01-05,1,1.11,1.11,1
47,47,2026-01-05,1,4.09,4.09,1
1,1,2026-01-06,1,4.38,4.38,1
33,33,2026-01-06,1,3.42,3.42,1
58,58,2026-01-06,1,1.11,1.11,1
1,1,2026-01-07,1,3.82,3.82,1
3,3,2026-01-07,9,46.38,7.38,1
7,7,2026-01-07,2,5.16,2.61,1
11,11,2026-01-07,1,5.67,5.67,1
33,33,2026-01-07,1,7.11,7.11,1
37,37,2026-01-07,1,2.19,2.19,1
7,7,2026-01-08,1,0.6,0.6,1
30,30,2026-01-08,1,0.98,0.98,1
33,33,2026-01-08,1,6.6,6.6,1
58,58,2026-01-08,1,9.42,9.42,1
1,1,2026-01-09,1,1.64,1.64,1
3,3,2026-01-09,1,4.57,4.57,1
9,9,2026-01-09,2,1.23,0.71,1
23,23,2026-01-09,1,3.22,3.22,1
30,30,2026-01-09,5,25.71,17.4,1
33,33,2026-01-09,2,7.859999999999999,4.83,1
41,41,2026-01-09,1,1.67,1.67,1
57,57,2026-01-09,11,231.93,41.63,1
3,3,2026-01-10,3,11.88,4.56,1
7,7,2026-01-10,2,22.06,20.27,1
33,33,2026-01-10,3,19.35,7.18,1
39,39,2026-01-10,1,0.68,0.68,1
3,3,2026-01-11,1,7.2,7.2,1
33,33,2026-01-11,5,33.92,13.01,1
1,1,2026-01-12,1,0.72,0.72,1
3,3,2026-01-12,7,29.42,6.35,1
13,13,2026-01-12,1,1.34,1.34,1
15,15,2026-01-12,1,2.85,2.85,1
22,22,2026-01-12,2,7.78,4.53,1
28,28,2026-01-12,1,4.74,4.74,1
30,30,2026-01-12,2,19.19,13.41,1
33,33,2026-01-12,4,18.28,5.67,1
3,3,2026-01-13,1,2.87,2.87,1
15,15,2026-01-13,1,2.37,2.37,1
18,18,2026-01-13,1,1.87,1.87,1
19,19,2026-01-13,2,1.67,0.88,1
30,30,2026-01-13,3,10.9,5.37,1
33,33,2026-01-13,1,11.17,11.17,1
41,41,2026-01-13,2,8.44,4.38,1
5,5,2026-01-14,1,5.03,5.03,1
7,7,2026-01-14,1,4.96,4.96,1
18,18,2026-01-14,1,2.81,2.81,1
