lat_grid,lon_grid,n_days_detected
22.74,5.53,28
22.74,5.54,20
25.63,0.96,29
25.77,2.84,33
25.79,2.83,45
26.0,2.99,30
26.01,2.99,17
26.01,3.09,22
26.02,2.99,31
26.03,11.97,226
26.03,11.98,1266
26.04,11.97,49
26.04,11.98,82
26.43,11.84,41
26.43,11.85,1120
26.44,11.84,19
26.44,11.85,156
26.53,2.73,26
26.54,2.73,27
26.84,2.5,174
26.84,2.51,274
26.85,2.51,28
26.86,2.51,233
26.86,2.52,190
26.89,2.6,16
26.9,0.09,50
26.91,0.09,74
27.06,-0.52,17
27.14,8.81,39
27.15,8.8,252
27.15,8.81,504
27.18,2.51,110
27.26,1.21,30
27.26,1.22,129
27.3,9.75,254
27.31,9.75,159
27.33,2.04,16
27.33,2.05,27
27.33,2.07,16
27.34,2.03,17
27.34,2.04,24
27.35,2.05,27
27.36,2.05,20
27.39,8.87,16
27.41,8.83,93
27.41,8.84,1060
27.44,9.62,23
27.45,-7.81,16
27.45,9.61,17
27.46,9.6,22
27.46,9.61,24
27.52,9.62,56
27.52,9.63,21
27.53,9.62,569
27.53,9.63,304
27.54,9.61,22
27.55,9.6,16
27.61,9.87,106
27.61,9.88,28
27.62,9.87,435
27.62,9.88,20
27.64,9.86,144
27.64,9.87,348
27.64,9.9,33
27.65,9.88,88
27.66,9.88,22
27.67,9.18,17
27.67,9.87,276
27.67,9.88,295
27.68,9.18,48
27.68,9.87,22
27.69,9.17,49
27.69,9.88,136
27.69,9.89,176
27.7,9.17,709
27.7,9.18,376
27.7,9.88,20
27.71,9.17,89
27.71,9.18,39
27.71,9.88,205
27.71,9.89,130
27.71,9.91,59
27.71,9.92,41
27.72,9.87,48
27.72,9.88,574
27.72,9.91,184
27.72,9.92,160
27.73,9.15,25
27.73,9.16,167
27.73,9.17,124
27.73,9.18,577
27.73,9.19,23
27.73,9.87,95
27.73,9.88,612
27.74,9.15,27
27.74,9.16,23
27.74,9.17,33
27.74,9.18,721
27.74,9.88,63
27.74,9.89,195
27.74,9.91,173
27.74,9.92,257
27.75,-8.15,33
27.75,9.15,669
27.75,9.16,86
27.75,9.88,33
27.75,9.89,113
27.75,9.91,84
27.75,9.92,196
27.76,9.16,21
27.76,9.18,30
27.76,9.19,410
27.76,9.2,134
27.76,9.89,222
27.77,9.19,182
27.77,9.2,32
27.78,0.63,213
27.8,0.46,804
27.8,0.47,20
27.87,9.25,62
27.88,9.25,72
27.89,-0.43,20
27.89,-0.42,18
27.92,7.86,189
27.92,9.1,36
27.92,9.11,77
27.92,9.19,18
27.92,9.24,28
27.92,9.25,747
27.92,9.26,27
27.92,9.89,53
27.93,7.86,21
27.93,8.37,495
27.93,8.38,469
27.93,9.1,174
27.93,9.11,220
27.93,9.24,31
27.93,9.25,543
27.93,9.26,16
27.93,9.89,78
27.94,8.37,38
27.94,9.23,18
27.94,9.25,16
28.05,9.79,22
28.06,9.53,18
28.06,9.82,100
28.06,9.84,53
28.06,9.85,37
28.07,9.79,29
28.07,9.81,17
28.08,9.78,303
28.08,9.79,865
28.08,9.81,18
28.09,0.31,22
28.09,9.78,42
28.09,9.79,41
28.1,0.3,21
28.1,0.32,16
28.1,0.33,19
28.11,0.3,464
28.11,0.31,407
28.11,0.32,28
28.11,0.34,60
28.11,9.38,22
28.12,0.29,25
28.12,0.3,682
28.12,0.31,664
28.13,8.98,24
28.13,9.37,50
28.13,9.38,17
28.13,9.49,23
28.13,9.5,27
28.13,9.81,34
28.14,8.98,37
28.14,9.49,415
28.14,9.5,29
28.14,9.51,22
28.14,9.81,41
28.15,-0.14,22
28.15,7.59,40
28.15,7.6,17
28.15,8.96,25
28.15,8.97,353
28.15,9.49,137
28.16,-0.14,18
28.16,7.59,25
28.16,8.96,26
28.16,8.97,41
28.18,9.39,17
28.18,9.4,33
28.18,9.41,34
28.19,7.45,18
28.19,9.8,560
28.19,9.81,331
28.19,9.83,30
28.19,9.84,21
28.2,-0.52,580
28.2,-0.51,86
28.2,9.4,22
28.2,9.8,21
28.2,9.83,19
28.2,9.84,27
28.21,-0.16,452
28.21,-0.15,16
28.21,9.42,18
28.22,-0.16,43
28.25,9.25,20
28.25,9.27,22
28.26,9.44,26
28.27,9.46,22
28.27,9.69,80
28.3,9.44,18
28.3,9.49,45
28.3,9.65,32
28.32,9.17,20
28.32,9.69,21
28.4,9.54,38
28.4,9.55,41
28.41,7.54,75
28.41,7.55,65
28.42,7.54,83
28.42,7.55,22
28.42,9.35,16
28.43,7.51,598
28.43,7.52,192
28.43,9.12,28
28.43,9.13,22
28.43,9.38,17
28.43,9.56,17
28.44,7.51,38
28.44,9.37,20
28.44,9.38,16
28.45,7.52,42
28.45,9.13,484
28.45,9.14,836
28.45,9.53,26
28.46,7.51,112
28.46,7.52,687
28.46,9.05,194
28.46,9.06,521
28.47,2.5,44
28.47,7.5,21
28.47,7.51,531
28.47,7.52,154
28.47,9.05,216
28.47,9.06,532
28.48,7.5,19
28.48,7.51,495
28.48,9.55,46
28.49,7.5,325
28.49,7.51,324
28.49,9.38,28
28.5,9.38,23
28.5,9.57,20
28.51,2.52,34
28.51,9.38,22
28.52,9.12,173
28.52,9.13,32
28.53,7.29,49
28.53,9.11,28
28.53,9.12,725
28.53,9.13,62
28.54,9.38,28
28.55,9.38,20
28.55,9.39,19
28.55,9.4,20
28.56,7.46,1180
28.56,7.47,310
28.56,7.51,320
28.56,7.52,1007
28.57,7.46,16
28.57,7.65,138
28.57,7.66,190
28.58,7.65,585
28.58,7.66,643
28.59,1.41,55
28.59,9.85,16
28.6,7.25,193
28.6,7.26,1171
28.6,7.27,21
28.6,7.51,173
28.6,7.52,69
28.6,9.12,42
28.6,9.13,46
28.6,9.14,32
28.61,7.25,30
28.61,7.26,51
28.61,7.5,307
28.61,7.51,583
28.61,7.52,281
28.61,7.71,43
28.62,7.5,67
28.62,7.7,169
28.62,7.71,500
28.62,7.72,26
28.62,9.78,47
28.62,9.79,155
28.63,7.53,88
28.63,7.54,188
28.63,7.61,28
28.63,7.62,58
28.63,9.78,513
28.63,9.79,655
28.63,9.8,24
28.64,7.53,229
28.64,7.54,417
28.64,7.61,419
28.64,7.62,404
28.64,9.78,581
28.64,9.79,360
28.65,7.68,155
28.65,7.69,134
28.65,8.95,30
28.65,9.27,107
28.66,7.68,16
28.66,7.91,631
28.66,8.95,26
28.66,9.27,27
28.66,9.84,32
28.67,8.94,16
28.67,9.38,19
28.67,9.84,40
28.67,9.85,18
28.68,7.19,585
28.68,7.2,433
28.68,8.94,22
28.68,8.95,59
28.68,9.84,53
28.69,7.19,388
28.69,7.2,285
28.69,8.95,49
28.69,9.0,61
28.69,9.26,124
28.7,8.93,47
28.7,8.94,723
28.7,8.95,39
28.7,8.96,16
28.7,9.04,18
28.7,9.26,34
28.71,8.93,31
28.71,8.94,170
28.71,8.95,395
28.71,8.96,54
28.71,9.03,469
28.71,9.04,603
28.71,9.09,25
28.71,9.1,28
28.71,9.16,19
28.71,9.9,18
28.72,7.52,409
28.72,8.94,32
28.72,8.95,197
28.72,8.96,75
28.72,9.0,18
28.72,9.03,45
28.72,9.09,20
28.72,9.1,19
28.72,9.16,34
28.72,9.24,27
28.73,7.52,22
28.73,8.92,37
28.73,8.95,48
28.73,9.15,484
28.73,9.16,52
28.73,9.24,58
28.73,9.78,33
28.73,9.79,368
28.73,9.8,16
28.74,8.99,19
28.74,9.0,20
28.74,9.02,20
28.74,9.14,22
28.74,9.15,245
28.74,9.16,21
28.74,9.27,36
28.74,9.28,71
28.74,9.78,106
28.74,9.79,673
28.74,9.8,28
28.75,8.96,31
28.75,8.97,57
28.75,9.01,21
28.75,9.12,27
28.75,9.25,21
28.75,9.26,75
28.75,9.27,52
28.75,9.29,82
28.76,8.92,153
28.76,9.01,31
28.76,9.12,44
28.76,9.25,17
28.76,9.26,38
28.76,9.27,26
28.77,8.89,33
28.77,8.9,52
28.77,8.92,57
28.77,8.94,22
28.77,9.01,17
28.77,9.12,17
28.77,9.25,95
