wilaya_id,wilaya_code,wilaya_name,wilaya_name_ar,wilaya_name_ber,area_km2,centroid_lat,centroid_lon,is_forest_zone
1,1,Adrar,أدرار,ⴰⴷⵔⴰⵔ,350606.3,26.4831595844606,-1.166003880079431,False
2,2,Chlef,الشلف,ⵛⵛⵍⴻⴼ,8004.4,36.21622917869902,1.2898227693992816,True
3,3,Laghouat,الأغواط,ⵍⴻⵖⵡⴰⵟ,50647.4,33.61773010245297,2.7441838999335832,False
4,4,Oum El Bouaghi,أم الـبـواقي,ⵓⵎⵍⴻⴱⵡⴰⵖⵉ,11923.9,35.83967581316481,7.05757849378251,True
5,5,Batna,باتنة,ⵜⴱⴰⵜⴻⵏⵜ,23508.6,35.36406776099201,5.913889750762983,True
6,6,Béjaïa,بجاية,ⴲⴳⴰⵢⴻⵝ,7400.7,36.55676944884282,4.85475944450581,True
7,7,Biskra,بسكرة,ⴱⴻⵙⴽⵔⴰ,18833.4,34.786118771978856,5.880818686177119,False
8,8,Béchar,بشار,ⴱⴻⵛⵛⴰⵔ,93955.2,31.3582025842337,-1.733091395674002,False
9,9,Blida,البليدة,ⴱⵍⵉⴷⴰ,2848.4,36.49553286538068,2.917119933074809,True
10,10,Bouira,البويرة,ⵜⵓⴱⵉⵔⴻⵜ,8608.3,36.26757138961607,3.816059326943992,True
11,11,Tamanrasset,تمنراست,ⵜⴰⵎⴰⵏⵖⴰⵙⵜ,566400.3,23.640927949975406,5.395493228508888,False
12,12,Tébessa,تبسة,ⵜⴱⴻⵙⴰ,23306.8,35.09451559597584,7.844867113152535,True
13,13,Tlemcen,تلمسان,ⵜⵍⴻⵎⵙⴻⵏ,16005.5,34.73024927800274,-1.4664507804805262,True
14,14,Tiaret,تيارت,ⵜⵢⴰⵔⴻⵜ,33603.5,34.95955123879957,1.515125169931799,True
15,15,Tizi Ouzou,تيزي وزو,ⵝⵉⵣⵉ ⵡⴻⵣⵣⵓ,4847.0,36.68330192850978,4.205433271097745,True
16,16,Algiers,الجزائر,ⴷⵣⴰⵢⴻⵔ,1219.1,36.70786158328476,3.063119059840854,True
17,17,Djelfa,الجلفة,ⴵⴻⵍⴼⴰ,68718.3,34.44852349699078,3.5446978795609017,True
18,18,Jijel,جيجل,ⵉⵖⵉⵍ ⴳⵉⵍⵉ,4208.2,36.6974279874211,5.961867008977165,True
19,19,Sétif,سطيف,ⵙⵟⵉⴼ,13221.0,36.145051337725,5.3920817317835485,True
20,20,Saïda,سعيدة,ⵙⵄⵉⴷⴰ,12320.9,34.73659820659008,0.2945248472295017,True
21,21,Skikda,سكيكدة,ⵙⴽⵉⴽⴷⴰ,8557.5,36.802065686885655,6.843579637432285,True
22,22,Sidi Bel Abbès,سيدي بلعباس,ⵙⵉⴷⵉ ⴱⴻⵍ ⵄⴻⴱⴱⴰⵙ,19081.1,34.67717097538014,-0.5318653212227025,True
23,23,Annaba,عنابة,ⵄⴻⵏⵏⴰⴱⴰ,2443.3,36.849480611354345,7.523659184654467,True
24,24,Guelma,قالمة,ⴳⴰⵍⵎⴰ,6314.3,36.38319930883687,7.396037556493581,True
25,25,Constantine,قسنطينة,ⵇⵙⴻⵏⵟⵉⵏⴰ,3507.4,36.35436521130007,6.678299117856924,True
26,26,Médéa,المدية,ⵎⴷⵉⵢⵢⴰ,15317.9,35.9792566109775,2.9420754279310204,True
27,27,Mostaganem,مستغانم,ⵎⵓⵙⵜⵖⴰⵏⴻⵎ,3826.2,35.98119704642479,0.333245632330315,True
28,28,M'Sila,المسيلة,ⵎⵙⵉⵍⴰ,34431.4,35.26225807894414,4.280483810483578,True
29,29,Mascara,معسکر,ⵎⵄⴻⵙⴽⴻⵔ,9725.3,35.39960434759614,0.1471537138334779,True
30,30,Ouargla,ورقلة,ⵡⴰⵔⴳⵍⴰ,264975.9,31.03453126676295,6.10344779658136,False
31,31,Oran,وهران,ⵡⴻⵀⵔⴰⵏ,4307.9,35.63221452693394,-0.6143389702789551,True
32,32,El Bayadh,البيض,ⵍⴱⴰⵢⴻⴹ,111740.7,32.63664664229846,0.8657315800526372,False
33,33,Illizi,إليزي,ⵉⵍⵍⵉⵣⵉ,283448.8,27.81460298642221,7.9483795467915,False
34,34,Bordj Bou Arreridj,برج بوعريريج,ⴱⵓⵔⴵ ⴱⵓ ⵄⵔⵉⵔⵉⴵ,7406.3,36.08581450517488,4.698072837143341,True
35,35,Boumerdès,بومرداس,ⴱⵓⵎⴻⵔⴷⴰⵙ,2513.5,36.72438513288313,3.6085816880160935,True
36,36,El Tarf,الطارف,ⵟⵟⴰⵔⴻⴼ,4864.3,36.72370578797533,8.151920456997887,True
37,37,Tindouf,تندوف,ⵜⵉⵏⴷⵓⴼ,223318.3,27.705874824666928,-5.921747117024196,False
38,38,Tissemsilt,تسمسيلت,ⵜⵉⵙⴻⵎⵙⵉⵍⵜ,5777.7,35.76286086835657,1.8218537496840777,True
39,39,El Oued,الوادي,ⵍⵡⴰⴷ,66599.5,33.19429173699475,7.436846692902905,False
40,40,Khenchela,خنشلة,ⵅⴻⵏⵛⵍⴰ,17102.3,34.990611291358974,7.0011868805388255,True
41,41,Souk Ahras,سوق أهراس,ⵙⵓⵇⴻⵀⵔⴰⵙ,7276.1,36.14659635650525,7.902749124703235,True
42,42,Tipaza,تيبازة,ⵜⵉⵒⴰⵣⴰ,3108.4,36.53459652301335,2.2628158932273776,True
43,43,Mila,ميلة,ⵎⵉⵍⴰ,6829.2,36.2899412091278,6.154293015341477,True
44,44,Aïn Defla,عين الدفلى,ⵄⵉⵏ ⴷⴻⴼⵍⴰ,7796.7,36.17605570229255,2.05132847695452,True
45,45,Naâma,النعامة,ⵏⵄⴰⵎⴰ,46829.7,33.30420032177641,-0.7693368370993439,False
